listing_id,conflict_fields,source_count
3614b20e69ed904e78b893a0dc8ad7bc2571f3de,"price,room_number,building_status",641
2a81c4d568c49157f165f21e526c899b9c294d96,"price,room_number,building_status",6
75868fdf8662fe00d1685e82f990a9100edc53c1,building_status,2
cc2f165e0ef009951fe89cce320e0a7b8d1f9e8b,,2
06ec404627b0b98a242be8d54b58a85c6ff9b40a,building_status,2
c8fe835ab1e1002f521188f8b8668b31b227cb99,,1
4fc83220af2587f124ffbcbe201f73218100ceb2,"price,room_number,building_status",8
8bd9623cc1865efca340a025a228d1392ca8b42c,"room_number,building_status",19
dace9d5f6a4c8b423766880e6d5abc40336062c5,"price,room_number,building_status",3
41aa11252aef96586ff611c0cd4a842ace49cd70,"room_number,building_status",5
6225e8411210957615f5495596fba1fd84d3b679,"price,room_number,building_status",6
eb3843746f9462335d10a03e042a17368239919c,"room_number,building_status",3
6078494092cfb8ac050b17d2b7a791dd07bf3800,building_status,8
c9ff35b15d5958c615292f63bc694b63af941c91,"room_number,building_status",5
ab1b94e189d6325da711c0112a01bc6923101c00,,2
83ced5cef3f1d353cdeac6b1a9f5a4b1476ee319,building_status,2
cce484c8e03f1fe70053f674407b6ec1642329cd,room_number,5
734f987308e68a7b1547a61d404224119d42a35e,,1
7bffaf9016cdab02da16abfd2a408f8359565a3b,,2
b934022167d36d1bb71a7d2ad41883ceab6d38f8,,1
178b498a5f80738f2585c1d035d97e9cd497c6bd,building_status,2
ff4b1bf72b526eb09a27db425eb0950ddea3eac8,,1
43308d33293fb3bb81784b2a724fe671d7ad0f65,,1
fe345e4d6ec4203a79a5f04e6a1eab795847f292,"price,building_status",7
a86fcb087b85b41ce3be3d77d2c04e67be026e1c,building_status,2
87c02aaef832c641e0a04b52106d46a51bb4a895,building_status,2
2cd5cc265323e072781fcee41c0620a75c69e363,,1
b9bed9cff24b42d5ca3576b3ade9029b8db60b47,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
3b17dd720e3ad772f4e9a667df5f11a48c1e10f4,,1
4f0b007462675aabc91089b9d26ff12b8293cd00,,1
3b0babd703c7a73ae308b88be852817698a22f19,,1
3b0babd703c7a73ae308b88be852817698a22f19,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
dd4b9c4fb00c9ed099ce69de0d538b0779dbcb89,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
238b5ac3d9cfa4a17891e8be095dbd72dbecf8eb,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
a526bba08fa97b58c7f36932aaa7cf52c7e325b9,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
aaef8932766366695c771eae10ec29f4688ee21a,room_number,2
7683be4d08f7daba8373cf0bebad213e84f63a32,room_number,2
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
dd4b9c4fb00c9ed099ce69de0d538b0779dbcb89,,1
50281112b648a656eed77ec8ceb07abec00becac,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
3b0babd703c7a73ae308b88be852817698a22f19,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
3b0babd703c7a73ae308b88be852817698a22f19,,1
3b0babd703c7a73ae308b88be852817698a22f19,,1
3b0babd703c7a73ae308b88be852817698a22f19,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
9cf2a765ac9af2ea932d6c73720ca40d702500cc,,1
42732ff30c7358c2d8a31ba6e3d30a59a4302b33,,1
7008a058a2a95f03269a9ca3a44528f19709448a,building_status,2
3b0babd703c7a73ae308b88be852817698a22f19,,1
3b0babd703c7a73ae308b88be852817698a22f19,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
2cd5cc265323e072781fcee41c0620a75c69e363,,1
bfebdae36121e08492c85cae997df47503f1a618,,1
f56c6fa5c379875466e04addb62cbd078b28b37a,price,2
bc28c9d4507d47564cc6a8ee2bc71e1a37887b27,,1
26cee009ec89d401cc96afff5b9364e6654c5a87,,1
bfebdae36121e08492c85cae997df47503f1a618,,1
9aeb29d3589c7ad68badd878bba121c3d960970e,,1
57f8e17a618a5581a63cbd6c3bc7097a145305aa,,1
bcb695acbed894f7e7313b17c1017c6a1ce0fb3f,,1
41aa11252aef96586ff611c0cd4a842ace49cd70,,1
1ee8d60e80daa5160e87f68bf2daa5b19ced1c29,,1
435fb6407c50605c05b6502f54ca0486a3b2d01b,,1
42835169bd9bba0c2cdb46a5c7d96f448493156b,,1
7a7ab8a0dd39ab18a8972d47263260323ee210e2,,1
48dc2e1f156bf8d731433fb671f9556f441b86c9,,1
d02404c25762618d91b4414dc487aaafb9a4ed85,room_number,2
d0921f170bbb6fbbea3630aa424ad950b6c8d75a,,1
